,text,airline_sentiment
76,@virginamerica or watch some of the best student films in the country at 35000 feet! cmfat35000feet ,neutral
77,@virginamerica first time flying you all. do you have a different ratepolicy for media bags? thanks,neutral
78,@virginamerica what is going on with customer service? is there anyway to speak to a human asap? thank you.,negative
79,@virginamerica what happened to doom?!,neutral
80,@virginamerica why cannot you supp the biz traveler like @southwestair  and have customer service like @jetblue neverflyvirginforbusiness,negative
81,@virginamerica I have applied more then once to be a member of the inflight crew team...im 100 interested. flightattendant dreampath g,positive
82,@virginamerica you are the best!! whenever i (begrudgingly) use any other airline I am delayed and late flight :(,negative
83,@virginamerica i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.neverflyvirginforbusiness,negative
84,@virginamerica it was a disappointing experience which will be shared with every business traveler i meet. neverflyvirgin,negative
85,@virginamerica im having trouble adding this flight my wife booked to my elevate account. help? ,negative
86,@virginamerica cannot bring up my reservation online using flight booking problems code,neutral
87,@virginamerica random q: what is the distribution of elevate avatars? i bet that kitty has a disproportionate share ,neutral
88,@virginamerica i lt;3 flying va but life happens and i am trying to change my trip jperhi  can you help.va home page will not let me ?,neutral
89,@virginamerica why is the site down?  when will it be back up?,negative
90,@virginamerica you down with rnp? yeah you know me!,neutral
91,@virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account?,neutral
92,@virginamerica i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,negative
93,@virginamerica just landed in lax an hour after i should of been here. your no late flight bag check is not business travel friendly nomorevirgin,negative
94,@virginamerica why is flight 345 redirected?,neutral
95,@virginamerica is it me or is your website down?  btw your new website is not a great user experience.  time for another redesign.,negative
96,@virginamerica i cannot check in or add a bag. your website is not working. I have tried both desktop and mobile ,negative
97,@virginamerica  let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? uncomfortable,negative
98,@virginamerica what is your phone number. i cannot find who to call about a flight reservation.,negative
99,@virginamerica is anyone doing anything there today?  website is useless and no one is answering the phone.,negative
100,@virginamerica trying to add my boy prince to my ressie. sf this thursday @virginamerica from lax ,neutral
101,@virginamerica why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business. sfo2lax,negative
102,@virginamerica check out new music ,neutral
103,@virginamerica how is a direct flight fllgt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. sneaky,negative
104,@virginamerica your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,negative
105,@virginamerica  amazing customer  service again!  raeann in sf  she is the best! customerservice virginamerica flying,positive
106,@virginamerica called your service line and was hung up on. this is awesome. sarcasm,negative
107,@virginamerica your site is tripping. I am trying to check in and I am getting the plain text version. i am reluctant to enter any card info.,negative
108,@virginamerica i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,neutral
109,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,positive
110,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,neutral
111,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,positive
112,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,neutral
113,@virginamerica have a great week ,positive
114,@virginamerica come back to phl already. we need you to take us out of this horrible cold. pleasecomeback ,positive
115,@virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop?,negative
116,@virginamerica is the best airline i have flown on.easy to change your reservationhelpful representatives amp; a comfortable flying experience,positive
117,@virginamerica and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,positive
118,@virginamerica your beautiful frontend design is down right now; but it was cool to still book my ticket bc all your backend was secure.,positive
119,@virginamerica love the team running gate e9 at las tonight. waited for a delayed flight and they kept things entertaining,positive
120,@virginamerica use another browser! 2015 amp; a brand with a reputation built on tech response does not have a crossbrowser compatible website?,negative
121,@virginamerica and now the flight flight booking problems site is totally down. folks what is the problem?,negative
122,@virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long. va370,negative
123,@virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight!,positive
124,@virginamerica you have the absolute best team and customer service ever.  every time i fly with you I am delighted.  thank you!,positive
125,@virginamerica do you provide complimentary upgrades to first class if there are available seats?,neutral
126,@virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!,negative
127,@virginamerica completely awesome experience last month boslas nonstop. thanks for such an awesome flight and depart time. vabeatsjblue,positive
128,@virginamerica how can i watch the oscars2015 on my jfkgt;sfo flight?,neutral
129,@virginamerica is flight 882 cancelled flightled and what do i do if it is?,neutral
130,@virginamerica you are failing your customers because your check in process does not link to tsa precheck.,negative
131,@virginamerica @fidifamilies us too! terrible airline! just gave us a hotel hotline number and said sorry,negative
132,@virginamerica has flight number 276 from sfo to cabo san lucas arrived yet?,neutral
133,@virginamerica @chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!,negative
134,@virginamerica another delayed flight? likingyoulessandless,negative
135,@virginamerica i need to register a service dog for a first class ticket from sfo gt; dulles. the phone queue is an hour or longer. pls advise,negative
136,@virginamerica you rock for making it so i can watch oscars on my flight!! redcarpet oscars oscars2015,positive
137,@virginamerica @reallytallchris dropped a track on you... ,neutral
138,@virginamerica always!!! xoxo,positive
139,@virginamerica why cannot we book seats on your flights when we buy them or even during check in? creates so much anxiety! frustrated,negative
140,@virginamerica you had think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at @sfo lame,negative
141,@virginamerica best customer service rep in the world! irmafromdallas takes the cake!!!,positive
142,@virginamerica can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service ,neutral
143,@virginamerica please provide status for flight 769.  i cant imagine it is on time as the web indicates  dude to weather here andor dallas,negative
144,@virginamerica you have amazing staff amp; super helpful as i just ran the @waltdisneyworld princesshalf they have spoiled me with comfort!!!,positive
145,@virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love? sad face :(,negative
146,@virginamerica question: is it not possible to book a seat for an infant under 2? it is not giving me the option but we want a seat for him.,negative
147,always have it together!!! you are welcome! rt @virginamerica: @jessicajaymes you are so welcome.,positive
148,@virginamerica flight home to dc sunset globe in backtowinter back to work! refreshed ,positive
149,.@virginamerica i do not understand why you need a dm to give me an answer on if you have a damaged luggage policy.,negative
150,.@virginamerica does that mean you do not have a policy for destroyed luggage?,negative
151,@virginamerica is there special assistance if i travel alone w2 kids and 1 infant? priority boarding?,neutral
152,@virginamerica thank you for checking in. tickets are purchased and customer is happy ;),positive
153,@virginamerica is your website ever coming back online?,neutral
154,@virginamerica   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23?,neutral
155,@virginamerica is flight 0769 out of lga to dfw on time?,neutral
156,@virginamerica my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,neutral
157,@virginamerica having problems flight booking problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,negative
158,@virginamerica how do i reschedule my cancelled flightled flights online? the change button is greyed out!,negative
159,@virginamerica i rang but there is a wait for 35 minutes!! i can book the same ticket through a vendor fix your site,negative
160,@virginamerica got a flight (we were told) for 4:50 today..checked my email and its for 4;50 tomorrow. this is unacceptable.,negative
161,@virginamerica our flight into lga was cancelled flighted. we are stuck in dallas. i called to reschedule told i could get a flight for today...(12),negative
162,@virginamerica why do not any of the pairings include red wine?! only white is offered :( redwineisbetter,negative
163,@virginamerica is the website down?,negative
164,@virginamerica  your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? ,negative
165,@virginamerica I am disappointed that the agent at the designated silver status check in line @dullesairport closed to assist all pasengers,negative
166,@virginamerica plans to include austin to its dallas route  topnews arab emirates ,neutral
167,@virginamerica is it normal to receive no reply from central baggage baggageissues smh,negative
168,@virginamerica at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!,negative
169,@virginamerica to jump into the dallasaustin market  @dallasnews ,neutral
170,@virginamerica beats eps views takes on southwestair va luv  investors business daily ,neutral
171,@virginamerica lister to my show my on monday 1230 130,neutral
172,@virginamerica to begin dallasaustin flights in april  88.9 ketr ,neutral
173,@virginamerica congrats you just got all my business from ewr to sfolax. fuck you @united fl1289 sfoewr was the clincher...,negative
174,@virginamerica  i applied over 2 weeks ago. have not heard back and I am flying this week disappointed,negative
175,@virginamerica I would love to know what your policy is for damaged luggage.,neutral
176,@virginamerica thank you for the follow,positive
177,@virginamerica  too many apologies! you r the worse airlines! do not even respond to your cudtomers,negative
178,@virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,negative
179,@virginamerica @ttinac11 i dm you,neutral
180,@virginamerica can you please have flights in  sjc ? i have no choice but to fly southwest to vegas ,neutral
181,@virginamerica too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!,negative
182,@virginamerica flight from bos gt; las tomorrow was cancelled flightled. no notification; wait times are 1 hour. will you rebook on another airline?,negative
183, rt @virginamerica: youve met your match. got status on another airline? upgrade (restr):  ,positive
184,@virginamerica only way to fly! elevate gold,positive
185,@virginamerica if only you guys had flights from cmh.,neutral
186,@virginamerica a lot of apologies being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever.,negative
187,@virginamerica  for all my flight stuff wrong and did nothing about it. had worst flight ever,negative
188,@virginamerica having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?,neutral
189,@virginamerica you will match my americanairlines status? cool!,positive
190,@virginamerica:you have met your match.got status on another airline? upgrade :  @asarcoesar ? ,neutral
191,@virginamerica trying to book a flight with you guys and your website will not let me... about to lose my business,negative
192,@virginamerica you suck!,negative
193,@virginamerica thanks!,positive
194,@virginamerica just dmd. same issue persisting.,negative
195,@virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids,negative
196,@virginamerica trying to book a flight amp; your site is down ,negative
197,@virginamerica you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and did not do anything,negative
198,@virginamerica you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed.  expected better,negative
199,@virginamerica i love your guys song! we are dancing to it for our high school dance revue,positive
200,@virginamerica your website is down and I am trying to check in!,negative
201,@virginamerica done! thank you for the quick response apparently faster than sitting on hold ;),positive
202,@virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,neutral
203,@virginamerica cool picture of another virginamerica plane off our wing. what a site! ,positive
204,@virginamerica keep up the great work :),positive
205,@virginamerica my goodness your people @love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,positive
206,@virginamerica thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? seriously,positive
207,@virginamerica can you please get me to the new york area before monday afternoon,neutral
208,@virginamerica thanks so much for the awesome support you guys rock!,positive
209,@virginamerica seats in row 8 do not recline should mention that on your website soreback,negative
210,@virginamerica flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,negative
211,@virginamerica why cancelled flight flights today? no precipitation to be scared of!  ,negative
212,@virginamerica twitter team. you guys killed it for rescheduling me asap. thank you!,positive
213,@virginamerica you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what is the deal?,negative
214,@virginamerica cant access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.,negative
215,@virginamerica on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight,neutral
216,@virginamerica your mobile site is broken shows header.elevateuser.numofpointsavailable  0  number points will not let me checkin,negative
217,@virginamerica i was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin,negative
218,@virginamerica why cancelled flight flight vx413? one sec its delayed on my to airport the next its cancelled flightled?gonna email or call me to reschedule?,negative
219,@virginamerica i did it but there was a problem in the link from the email for checkin. thanks,negative
220,@virginamerica had to change to another airline to get to dc today ... why is @united able to land in dc but not you? cost me 800 ...ugh,negative
221,@virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...,negative
222,@virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love! ,positive
223,@virginamerica wish i can afford to fly with you next friday  going back home.. love everything  about your airline,positive
224,@virginamerica  how are you gonna have a deal from dallas to dc but no deal from dc to dallas? sad,negative
225,@virginamerica its just a bug report guys,neutral
226,@virginamerica hold times at call center are a bit much,negative
227,@virginamerica like ,positive
228,@virginamerica site down? help,negative
229,@virginamerica you have the best flight attendant ever!!! ,positive
230,awesome! rt @virginamerica: watch nominated films at 35000 feet. meetthefleet oscars ,positive
231,@virginamerica thanks so much!,positive
232,@virginamerica trying to reset my password email never arrives. help?,negative
233,@virginamerica the only airline based in silicon valley! disruption fcmostinnovative incubator  @fastcompanys ,positive
234,@virginamerica very nicely done. ,positive
235,@virginamerica im looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! ;),positive
236,@virginamerica what is the reason  for the delay of the departure of vx 413 from jfk this afternoon?,negative
237,@virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled?,negative
238,@virginamerica hahaha @virginamerica you guys are amazing. i love you guys!!!,positive
239,@virginamerica sounds like fun !,positive
240,@virginamerica any updates on flight 413 from jfk gt; lax,neutral
241,@virginamerica spruce moose!,neutral
242,@virginamerica the css on your site is a 404 right now please fix. site unusable.,negative
243,@virginamerica we are on flight 910 vegas to boston today checked in online but our bag count did not register. can i fix that somehow?,negative
244,@virginamerica classiq luv virgin america. greetingz,positive
245,@virginamerica hi I am trying to do checkin but the website is not working. i tried 3 different browsers and the problem continues,negative
246,@virginamerica thanks for your great customer service today amp; for helping me get all my travel sorted out!,positive
247,@virginamerica thanks guys! sweet route over the rockies airplanemodewason,positive
248,@virginamerica love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco. only if i could get an iced coffee!,positive
249,@virginamerica  the passenger in 7d flt 338 that assaulted me should not have flown. i trust he is banned. crew filed report to @faanews,negative
250,@virginamerica current bug on website shows select departure city when selecting destination city ,negative
251,@virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san. luggage agent miranda (i think) was not any help.,negative
252,@virginamerica thank you for the easy itinerary shift for impending weather. quick painless amp; free.,positive
253,@virginamerica if you had love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq. ,neutral
254,@virginamerica thanks! good times there and back! vodkatonics the entire flightsfo,positive
255,@virginamerica beats expectations shares take off  santa cruz sentinel ,neutral
256,@virginamerica any plans to start flying direct from dal to las?,neutral
257,@virginamerica big lovegratitude.mpower w  werin oscars2105 vipswagbags@ avalonhollywood ,neutral
258,@virginamerica you are doing a great job adding little luxuriesaesthetics that improve the air travel experience. thank you. keep it up!,positive
259,@virginamerica requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member,negative
260,@virginamerica grand budapest hotel oscarscountdown,neutral
261,@virginamerica this is what you missed @newsvp. next trip to the 407.,neutral
262,@virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,negative
263,@virginamerica there is something wrong with you website in safari iphone,negative
264,@virginamerica thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet,positive
265,@virginamerica already checked in so the page expired :x,negative
266,@virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,negative
267,@virginamerica shares rise on q4 financial results  usa today ,neutral
268,@virginamerica adds pillows instead of lieflat seats in first class arms race ,neutral
269,@virginamerica i see what you did there ;),positive
270,@virginamerica way to take advantage of mayweatherpacquiao :),neutral
271,@virginamerica you know I am flying virgin for the fight mayweatherpacquiao,neutral
272,@virginamerica your inflight team makes the experience amazing!,positive
273,@virginamerica cutest salt and pepper shaker ever. just when i think you guys cannot get any better you just do! ,positive
274,@virginamerica moved my seat with no notice. better seat is cabin select not behind the row i selected disappointed,negative
275,@virginamerica shares up on 4q results  @iol ,neutral
276,@virginamerica fav airline,positive
277,@virginamerica we have a hot female pilot! sweet! dca to sfo! :),positive
278, when are you guys going to start flying to paris? @virginamerica: @lizautter you are welcome.,neutral
279,@virginamerica what is your policy on flying after surgery?  i am still waiting for answer so i can tell me doctor.,neutral
280,@virginamerica already contacted central baggage amp; sent dm. @renttherunway is charging me for the dress that was in the lost suitcase help,negative
281,@virginamerica thank you!!,positive
282,@virginamerica is there anything going on with the website? I have been getting a lot of errors past 30 minutes.,negative
283,@virginamerica i think i left something on the plane yesterday. who do i call...ah!,neutral
284,@virginamerica i need you to follow back in order to dm.,neutral
285,@virginamerica need to start flying to @kciairport .  ,neutral
286,@virginamerica they told to check with the airline regulation first so that is why i contacted you.,neutral
287,@virginamerica @virginatlantic i have just checked in flight to sfo from lax amp; been told as atlantic flying club gold i get no benefits?!,negative
288,@virginamerica husband and i ordered three drinks via my screen and they never came. awesome!,negative
289,@virginamerica soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence :),negative
290,@virginamerica what is your policy on flying after surgery?,neutral
291,@virginamerica posts second consecutive fullyear net profit  @atwonline ,neutral
292,@virginamerica funny story your website is broken you have missing javascript and stylesheets on the checkin process. i dislike this!,negative
293,@virginamerica would love to do more for virgin just like i do for @gopro,positive
294,@virginamerica results handily exceed forecasts  @nytimes ,neutral
295,@virginamerica i applied for a position in @flylaxairport and i was wondering if you guys received my application.,neutral
296,@virginamerica achieves a second year of profitability despite revenue pressure ...  @capaaviation ,neutral
297,@virginamerica gives positive outlook but sees increased competition  @reuters ,neutral
298,@virginamerica I am trying to check into my 10:50am ct flight tmm on the desktop website and it is not working (some sort of caching bug) sos,negative
299,@virginamerica weather delays gt; next few weeks ;) jfk bos dca,neutral
300,@virginamerica @madbee95 check the website before you go to the airport!,neutral
301,@virginamerica do you guys know your checkin links from emails are broken? ,negative
302,@virginamerica pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about 5 degrees amp; wthe windchill 8,neutral
303,@virginamerica loved it. cannot wait for mondays return flight... mostly just to watch the inflight safety video again. sorrynotsorry,positive
304,@virginamerica lost my luggage 4 days ago on flight vx 112 from lax to iad amp; I am calling every day no response.please give me back my stuff,negative
305,@virginamerica the flight booking problems section of your website seems to be broken on chrome. might wanna look into that.,negative
306,@virginamerica hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,positive
307,@virginamerica i mean. probably inappropriate while on board.. but it is on!,positive
308,@virginamerica happy to spend the day together. let us do this!,positive
309,@virginamerica is saving my sanity right now: ,neutral
310,@virginamerica missed my flight. how does standby work?,neutral
311,.@virginamerica they were very understanding and helped me out.  thx! comps,positive
312,@virginamerica brought it all the way across the country today i see ,neutral
313,@virginamerica thank you! i absolutely will ,positive
314,@virginamerica looks like a broken link for your assets ,negative
315,@virginamerica are you ready!? let us say it together.. noooo turbulence today! ,neutral
316,@virginamerica the manage itinerary section of your website seems to be broken for me ,negative
317,@virginamerica cannot check in your site looks like this every time it loads ,negative
318,@virginamerica can u help this  @freyabevanfund needs urgent treatment in2y old battling cancer could u help with flights freyasfund,neutral
319,@virginamerica may start service to hawaii from sanfrancisco this year  biztravel,neutral
320,@virginamerica other carriers are less than half price for a round trip fare. i am stunned. ,negative
321,@virginamerica wtf is happening in pdx late flight march such that one way from sfo is 550?,negative
322,@virginamerica add dtw and I am sold!,neutral
323,@virginamerica how about some free drinks on the flight back for the free promo?,positive
324,@virginamerica @ssal thanks!,positive
325,@virginamerica momma i made it! ,neutral
326,@virginamerica please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am. need it returned. call 9143290185.,neutral
327,@virginamerica help. i was on  flight  27 from jkf tonight. seat 7c left portfolio. need it back!!,neutral
328,@virginamerica @shrinerack seattle bound. wifey got me the duffle for vday. she is a keeper!!! holla!!! ,neutral
329,@virginamerica my luggage is gone. I have filed my paperwork promised a callemail. still no resolution or response from central luggage.,negative
330,@virginamerica debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks,neutral
331,@virginamerica thanks!,positive
332,@virginamerica thanks for taking care of @suuperg on her flight!! rockstars travel,positive
333,@virginamerica thanks for the lovely soft views! travel san to sfo ,positive
334,@virginamerica i requested a mileage challenge for status several weeks ago online but have not heard back. how do i get help with this?,negative
335,@virginamerica just trying to book tickets to nyc and facing super fun broken styling. do not worry I will keep trying :),negative
336,@virginamerica many thanks for the follow.ourprincess freyasfund usa bandie looking for any help ,neutral
337,@virginamerica nice lofty view @flylaxairport. silverstatus ,neutral
338,@virginamerica applied for status match on feb 1. got confirmation email same day. still no news though. you guys have dropped ball late flightly ,negative
339,@virginamerica is my new go to airline,neutral
340,@virginamerica @virginatlantic @gma @americanair can you help ourprincess in need of some help in usa  ,neutral
341,@virginamerica i adore you and am so looking forward to my flight to austin in two weeks.,positive
342,@virginamerica i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,positive
343,@virginamerica flight booking problems flight to uphold my status match.  do taxes on ticket count as earned status points?  statusmatch virginamerica,neutral
344,@virginamerica trying to checkin...but looks like your site is down?,negative
345,@virginamerica spending my birthday night with you daldca. get me home!,negative
346,@virginamerica sent a couple messages to the email you provided but to no avail. will try again next year. cheers.,negative
347,@virginamerica first time flying virgin went to sanfrancisco .thanks for the smooth ride. easily my new fav airline!,positive
348,@virginamerica seriously though. will there not be direct flights from sfofll in may???,negative
349,@virginamerica it is fine. already done with my purchase. but you should try it. just go most of the way through then go back 3,negative
350,@virginamerica not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board,negative
351,@virginamericawjere is our luggage so slow at lax,negative
352,@virginamerica to jump into the dallas austin market ,neutral
353,@virginamerica i spoke with a representative that offered no solution i am a loyal customer who flies on @virginatlantic as well,negative
354,@virginamerica i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,negative
355,@virginamerica what happened to direct flights from sfofll? looking in may only see connecting help dontdothistome,negative
